account_id,company_name,industry,region,amount,days_overdue,payment_history_score,shipment_volume_change_30d,email_opened,dispute_flag,outcome
ACC0001,TechCorp Solutions Pvt Ltd,Technology,South,2800000,90,0.88,0.40,TRUE,FALSE,1
DEMO002,SafePay Industries,Retail,North,32000,8,0.94,0.30,TRUE,FALSE,1
DEMO003,RiskyCo Ltd,Construction,South,28500,85,0.18,-0.55,FALSE,TRUE,0
DEMO004,TrustBuild Inc,Medical,East,51000,12,0.91,0.35,TRUE,FALSE,1
DEMO005,DelayedPay Corp,Textile,West,19000,72,0.25,-0.48,TRUE,FALSE,0
DEMO006,AlwaysOnTime LLC,Retail,North,38000,5,0.97,0.42,TRUE,FALSE,1
DEMO007,StruggleTech,Tech,South,42000,81,0.19,-0.52,FALSE,TRUE,0
DEMO008,PremiumClient Co,Medical,East,67000,10,0.95,0.38,TRUE,FALSE,1
DEMO009,CashFlow Problems,Construction,West,23000,88,0.15,-0.58,FALSE,FALSE,0
DEMO010,GoldStar Partners,Retail,North,55000,6,0.98,0.45,TRUE,FALSE,1